Date,OPEN,HIGH,LOW,CLOSE
2/7/2018,1627,1644.9,1575.8,1587.4
2/8/2018,1589.9,1707.3,1568.3,1693.3
2/9/2018,1652,1684.4,1650.1,1661
2/12/2018,1678,1685,1645,1651.6
2/14/2018,1652,1661.1,1620,1629.7
2/15/2018,1626.6,1651.3,1611.1,1621.3
2/16/2018,1634,1661,1630.2,1650.6
2/19/2018,1655.9,1665,1621,1633.7
2/20/2018,1644,1652.4,1622,1640.4
2/21/2018,1656.6,1662,1639,1645.3
2/22/2018,1635,1641.2,1617,1632.4
2/23/2018,1630,1658.1,1627.6,1651.5
2/26/2018,1659.8,1675.5,1652.7,1661.1
2/27/2018,1655,1660,1624,1632.8
2/28/2018,1618,1635.2,1615.5,1623.1
3/1/2018,1624.9,1642.9,1624.7,1633.8
3/5/2018,1626.4,1631.1,1593.5,1606.2
3/6/2018,1614.7,1617,1591,1595.3
3/7/2018,1590.2,1594.8,1570,1575.2
3/8/2018,1577,1584.7,1542.8,1545
3/9/2018,1554,1554,1528,1531.9
3/12/2018,1536.7,1564.1,1521,1559.9
3/13/2018,1575.2,1582,1557.4,1575.4
3/14/2018,1567.7,1623.5,1565,1612
3/15/2018,1616.8,1617,1596.1,1603.2
3/16/2018,1599.9,1607.3,1552.7,1568
3/19/2018,1571.5,1573.7,1535.6,1562.9
3/20/2018,1557.7,1573.5,1527,1554.8
3/21/2018,1556.5,1574.3,1544.8,1558.4
3/22/2018,1558,1571,1539.9,1549.4
3/23/2018,1530.4,1539.8,1517.7,1528.6
3/26/2018,1530,1539.4,1522.4,1533.2
3/27/2018,1541.3,1547.7,1514,1524
3/28/2018,1512,1520.9,1499,1507.5
4/2/2018,1509.4,1545,1509.4,1537
4/3/2018,1534,1562,1534,1554.8
4/4/2018,1554,1576.9,1525.9,1530
4/5/2018,1551.4,1559.7,1536.9,1552.4
4/6/2018,1558,1561,1542.9,1553.3
4/9/2018,1552.9,1559.2,1535.7,1541.3
4/10/2018,1555.9,1555.9,1531.5,1539.2
4/11/2018,1531.9,1543.5,1520.1,1533.6
4/12/2018,1526.1,1532.4,1520,1525
4/13/2018,1528,1545,1521.6,1536.5
4/16/2018,1531.7,1582.9,1530,1576.5
4/17/2018,1587.7,1600,1572.6,1587
